# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
qwen3.6-27b,ID4103-4104-OpenSSH server activation and config.evtx,hard,A,error,NO,0.0,0.0,NO,,,,,,,,0.45,,,,,,,Error: HTTP 400
qwen3.6-27b,ID4103-4104-OpenSSH server install.evtx,hard,A,processed,NO,100.0,81.2,YES,"4103, 4104, 40961, 53504, 40962",powershell.exe,"OFFSEC\admmig, OFFSEC\SYSTEM","Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Write-Host 'Final result: 1'",,,0.0,73.24,4.9,5.0,4.0,2,15.9,B,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4103, 4104, 40961, 53504, 40962
- Processes: powershell.exe
- Accounts: OFFSEC\admmig, OFFSEC\SYSTEM
- Commands: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Write-Host 'Final result: 1';
- Network: None
- Registry: None

EXPLANATION:
The logs depict a standard administrative workflow where the user installs the OpenSSH server feature using built-in PowerShell cmdlets and loads the corresponding DISM module aliases. The subsequent execution of a simple Write-Host command under the SYSTEM account aligns with routine script testing or lab configuration rather than malicious activity. There are no indicators of exploitation, data exfiltration, or suspicious network connections present in the event data."
qwen3.6-27b,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,100.0,YES,33205,,sa,,"10.23.23.9, mssql01.offsec.lan",,0.0,83.83,6.0,2.0,4.0,3,15.0,B,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 10.23.23.9, mssql01.offsec.lan
- Registry: None

EXPLANATION:
The logs show two rapid failed login attempts for the default 'sa' administrator account from a single source IP (10.23.23.9) within a 20-second window, which is characteristic of a brute-force or credential guessing attack. The repeated 'Login failed' statements with error code 0x00004818 confirm unauthorized access attempts rather than routine administrative activity."
qwen3.6-27b,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,FS03$,,"10.23.23.9, FS03.offsec.lan",,0.0,97.04,6.0,2.0,4.0,3,15.0,B,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625, 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$
- Commands: None
- Network: 10.23.23.9, FS03.offsec.lan
- Registry: None

EXPLANATION:
The logs show two consecutive failed Remote Interactive (LogonType 10) logon attempts from the same source IP address within a short timeframe. The failure status 0xC000006E and reason %%2313 indicate unknown usernames or bad passwords, which is a classic indicator of a brute-force or credential stuffing attack against the RDP service. Therefore, this pattern represents malicious activity rather than routine administrative error."
qwen3.6-27b,ID33205-SQL Server member added to database role.evtx,easy,A,processed,NO,100.0,93.8,YES,33205,,"OFFSEC\admmig, dbo, test-sql",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,mssql01.offsec.lan,,0.0,88.42,5.6,5.0,4.0,2,16.6,B,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
The log records a standard SQL Server audit event where the account OFFSEC\admmig successfully executed an ALTER ROLE statement to add the test-sql principal to the db_accessadmin database role. This is a routine administrative action for managing database permissions and lacks indicators of unauthorized access or malicious intent. Without additional context showing anomalous behavior, the activity is consistent with normal database maintenance."
qwen3.6-27b,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,mssql01.offsec.lan,,0.0,79.01,5.3,5.0,4.0,3,17.3,A,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
The log records a standard SQL Server audit event (ID 33205) where the administrative account OFFSEC\admmig successfully executed a CREATE USER statement to map a database user to an existing login. This is a routine database administration task with no indicators of privilege escalation, unauthorized access, or malicious activity. Without additional context showing suspicious lateral movement or abuse, this isolated event represents benign operational behavior."
qwen3.6-27b,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,rootdc1.offsec.lan,,0.0,78.74,6.0,6.0,4.0,3,19.0,A,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
A single Event ID 4723 log records an attempt to change a user's password, which is a standard administrative function. Without corroborating indicators such as failed logons, privilege escalation chains, or lateral movement events, this isolated password change attempt is considered routine activity rather than a confirmed attack."
qwen3.6-27b,ID4728-Member adding to a group by the same account.evtx,easy,A,processed,NO,100.0,100.0,YES,4728,,"lambda-user, Group02",,rootdc1.offsec.lan,,0.0,90.91,6.0,5.0,4.0,3,18.0,A,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4728
- Processes: None
- Accounts: lambda-user, Group02
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
This event records a standard group membership modification (Event ID 4728) where the account lambda-user was added to the local group Group02. Without additional context indicating unauthorized access, anomalous timing, or correlated privilege escalation, this represents a routine administrative task. Consequently, the activity is classified as benign in isolation."
qwen3.6-27b,ID4738-Account is sensitive and cannot be delegated.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,rootdc1.offsec.lan,,0.0,85.04,6.0,2.0,4.0,4,16.0,B,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
The logs show two rapid Event ID 4738 entries where the account `admmig` modifies the User Account Control flags for `hack1`, first enabling the ""password never expires"" flag (0x4210) and then immediately reverting it back to normal (0x210) within four seconds. This rapid toggle of account properties is a strong indicator of automated tooling or an attacker testing domain privileges and attempting to manipulate account policies, which is highly suspicious in a security context."
qwen3.6-27b,ID4738-Password cannot be changed.evtx,easy,A,processed,NO,100.0,100.0,YES,4738,,"hack1, admmig",,rootdc1.offsec.lan,,0.0,79.39,6.0,5.0,4.0,3,18.0,A,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
The logs contain two identical Event ID 4738 entries showing the subject account admmig modifying the target account hack1 on the rootdc1.offsec.lan domain controller. Without additional context such as process execution, registry modifications, or network connections indicating exploitation, this activity represents routine administrative account management. The absence of escalating privilege chains or sequential malicious commands confirms the behavior is benign rather than indicative of an attack."
