# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4103-4104-OpenSSH server activation and config.evtx,hard,A,error,NO,0.0,0.0,NO,,,,,,,,0.31,,,,,,,Error: HTTP 400
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4103-4104-OpenSSH server install.evtx,hard,A,processed,NO,100.0,87.5,YES,"4103, 4104, 40961, 53504, 40962",powershell.exe,"CORPNB\j.varela, CORPNB\SYSTEM","Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Add-WindowsCapability, Out-Default, Set-StrictMode, Write-Host 'Final result: 1', $global:?",,,0.0,179.76,5.2,5.0,4.0,2,16.2,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4103, 4104, 40961, 53504, 40962
- Processes: powershell.exe
- Accounts: CORPNB\j.varela, CORPNB\SYSTEM
- Commands: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Add-WindowsCapability, Out-Default, Set-StrictMode, Write-Host 'Final result: 1', $global:?
- Network: None
- Registry: None

EXPLANATION:
The logs show a user installing the OpenSSH Server capability and executing standard PowerShell module loading and alias creation commands, which are typical administrative tasks. The subsequent execution of `Write-Host 'Final result: 1'` by the SYSTEM account is a common benign artifact of scheduled tasks or system maintenance scripts rather than malicious activity. There are no indicators of data exfiltration, lateral movement, or unauthorized privilege escalation."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,100.0,YES,33205,,sa,,172.19.23.9,,0.0,4.40,6.0,2.0,4.0,3,15.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205, 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 172.19.23.9
- Registry: None

EXPLANATION:
The logs show two consecutive failed login attempts for the highly privileged 'sa' account from the same IP address (172.19.23.9) within a 21-second window. This pattern indicates a brute-force or password-guessing attack targeting the database's administrative account, which is a significant security threat."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,SRV1103$,,172.19.23.9,,0.0,3.99,6.0,2.0,4.0,4,16.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625, 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: SRV1103$
- Commands: None
- Network: 172.19.23.9
- Registry: None

EXPLANATION:
The logs show two consecutive failed logon attempts (Event ID 4625) from the same source IP address (172.19.23.9) within a short timeframe, indicating a potential brute-force or password guessing attack. The failures are attributed to the machine account SRV1103$ via winlogon.exe, suggesting an attempt to authenticate against the system using invalid credentials."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID33205-SQL Server member added to database role.evtx,easy,A,processed,NO,100.0,68.8,YES,33205,,"CORPNB\j.varela, qa-sql1, dbo",ALTER ROLE [db_accessadmin] ADD MEMBER [qa-sql1,,,0.0,2.99,4.1,5.0,4.0,2,15.1,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: CORPNB\j.varela, qa-sql1, dbo
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [qa-sql1]
- Network: None
- Registry: None

EXPLANATION:
The event records a standard database role modification where a user adds a service account to a database role, which is a routine administrative task. There are no indicators of privilege escalation chains, suspicious command execution, or unauthorized access patterns that would suggest malicious intent."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,,"CORPNB\j.varela, dbo, qa-sql1",CREATE USER [qa-sql1] FOR LOGIN [qa-sql1,,,0.0,2.88,5.3,5.0,4.0,2,16.3,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: CORPNB\j.varela, dbo, qa-sql1
- Commands: CREATE USER [qa-sql1] FOR LOGIN [qa-sql1]
- Network: None
- Registry: None

EXPLANATION:
The event records a standard database user creation action performed by a known domain account, which is a routine administrative task. There are no indicators of privilege escalation, suspicious command execution, or unauthorized access patterns in this single event."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"m.lindqvist, j.varela",,,,0.0,2.47,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: m.lindqvist, j.varela
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
Event ID 4723 indicates that a user account password was changed, which is a routine administrative or user action. There are no indicators of compromise such as suspicious processes, network connections, or privilege escalation chains in this single event."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4728-Member adding to a group by the same account.evtx,easy,A,processed,NO,100.0,100.0,YES,4728,,"svc-batch02, grpfin17",,,,0.0,2.54,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4728
- Processes: None
- Accounts: svc-batch02, grpfin17
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The event indicates that the service account 'svc-batch02' added itself to the security group 'grpfin17'. This is a routine administrative action where a service account manages its own group membership, which is common for automated tasks and does not indicate privilege escalation or unauthorized access."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4738-Account is sensitive and cannot be delegated.evtx,easy,A,processed,NO,100.0,100.0,YES,4738,,"t.okafor, j.varela",,,,0.0,4.32,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: t.okafor, j.varela
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The logs show two Event ID 4738 (User Account Management) events where the User Account Control (UAC) flags for user 't.okafor' were modified by 'j.varela'. The first event changed the UAC value from 0x210 (Normal Account) to 0x4210 (Normal Account, Don't Expire Password), and the second event reverted it back to 0x210. This appears to be a routine administrative action or a test of account settings rather than an attack, as no privilege escalation, suspicious command execution, or network activity is observed."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4738-Password cannot be changed.evtx,easy,A,processed,NO,100.0,100.0,YES,4738,,"t.okafor, j.varela",,,,0.0,2.90,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: t.okafor, j.varela
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The logs show two identical Event ID 4738 entries indicating a user account was modified, with no specific attribute changes recorded (all fields are ""-""). There is no evidence of privilege escalation, command execution, or network activity that would suggest malicious intent. This appears to be routine administrative activity or a benign account modification event."
