# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4103-4104-OpenSSH server activation and config.evtx,hard,A,error,NO,0.0,0.0,NO,,,,,,,,0.24,,,,,,,Error: HTTP 400
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4103-4104-OpenSSH server install.evtx,hard,A,processed,NO,100.0,87.5,YES,"4103, 4104, 40961, 53504, 40962",powershell.exe,"OFFSEC\admmig, OFFSEC\SYSTEM","Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Add-WindowsCapability, Out-Default, Set-StrictMode, Write-Host 'Final result: 1' | , $global:?",,,0.0,12.10,5.2,5.0,4.0,2,16.2,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4103, 4104, 40961, 53504, 40962
- Processes: powershell.exe
- Accounts: OFFSEC\admmig, OFFSEC\SYSTEM
- Commands: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Add-WindowsCapability, Out-Default, Set-StrictMode, Write-Host 'Final result: 1';, $global:?
- Network: None
- Registry: None

EXPLANATION:
The logs show the installation of the OpenSSH Server capability and the execution of standard PowerShell module loading commands (Set-Alias, Export-ModuleMember) by a user account, followed by a system-level script execution. These activities are consistent with routine system administration or software installation tasks rather than malicious behavior, as there are no suspicious network connections, obfuscated payloads, or unauthorized privilege escalation chains evident in the provided data."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,100.0,YES,33205,,sa,,10.23.23.9,,0.0,2.97,6.0,2.0,4.0,3,15.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205, 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
The logs show two consecutive failed login attempts for the highly privileged 'sa' account from the same IP address (10.23.23.9) within a 21-second window. This pattern indicates a brute-force or password-guessing attack targeting the database administrator account, which is a significant security threat."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,"FS03$, -",,10.23.23.9,,0.0,3.14,6.0,2.0,4.0,4,16.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625, 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$, -
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
The logs show two consecutive failed logon attempts (Event ID 4625) from the same source IP address (10.23.23.9) within a short timeframe, which is indicative of a brute-force or password guessing attack. The repeated failures with the same target account and source IP suggest an automated or persistent attempt to gain unauthorized access."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID33205-SQL Server member added to database role.evtx,easy,A,processed,NO,100.0,68.8,YES,33205,,"OFFSEC\admmig, test-sql, dbo",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,,,0.0,2.61,4.1,5.0,4.0,2,15.1,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, test-sql, dbo
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: None
- Registry: None

EXPLANATION:
The event records a standard SQL Server audit action where an administrator account (OFFSEC\admmig) adds a user (test-sql) to a database role. This is a routine database administration task and does not exhibit characteristics of malicious activity such as unauthorized access or privilege escalation attacks."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,,,0.0,2.65,5.3,5.0,4.0,2,16.3,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: None
- Registry: None

EXPLANATION:
The event records a successful SQL Server audit action where a database user was created for a login, which is a standard administrative task. There are no indicators of compromise, such as failed logins, privilege escalation chains, or suspicious command execution, making this routine database management activity."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,,,0.0,2.08,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
Event ID 4723 indicates an attempt to change a user account password, which is a routine administrative action. There is no evidence of privilege escalation, suspicious command execution, or network-based attack indicators in this single event."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4728-Member adding to a group by the same account.evtx,easy,A,processed,NO,100.0,100.0,YES,4728,,"lambda-user, Group02",,,,0.0,2.65,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4728
- Processes: None
- Accounts: lambda-user, Group02
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The event indicates that the user 'lambda-user' added themselves to the security group 'Group02'. This is a routine administrative action where a user modifies group membership, and there is no evidence of privilege escalation to high-privilege groups (like Domain Admins) or suspicious command execution. Without context linking this to other malicious activities or high-impact privilege changes, this single event is considered benign."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4738-Account is sensitive and cannot be delegated.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,,,0.0,3.92,6.0,2.0,4.0,3,15.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The logs show a rapid sequence of account modifications on the user ""hack1"" performed by ""admmig"", specifically toggling the User Account Control (UAC) flags. The first event enables the ""DONT_EXPIRE_PASSWORD"" flag (changing UAC from 0x210 to 0x4210), and the second event immediately reverts it (changing UAC from 0x4210 to 0x210), which is a common technique to reset password expiration timers or maintain persistence without triggering standard password change alerts. This pattern of rapid, contradictory state changes on a single account identifier indicates suspicious administrative activity rather than routine maintenance."
Qwen3.8-Flash-Next-MLX-Serve-4bit,ID4738-Password cannot be changed.evtx,easy,A,processed,NO,100.0,100.0,YES,4738,,"hack1, admmig",,,,0.0,2.80,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The logs show two identical Event ID 4738 (User Account Management) events where the account 'hack1' was modified by 'admmig'. There is no evidence of privilege escalation, command execution, or network activity, and the account names appear to be standard test or administrative accounts without indicators of compromise."
