# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
claude-opus-4-8,ID4103-4104-OpenSSH server activation and config.evtx,hard,A,processed,NO,100.0,100.0,YES,"4103, 4104",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,OFFSEC\admmig,"Start-Service sshd, Set-Service -Name sshd -StartupType 'Automatic', Get-NetFirewallRule -Name *ssh*",win10-02.offsec.lan,,0.0,16.88,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4103, 4104
- Processes: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
- Accounts: OFFSEC\admmig
- Commands: Start-Service sshd, Set-Service -Name sshd -StartupType 'Automatic', Get-NetFirewallRule -Name *ssh*
- Network: win10-02.offsec.lan
- Registry: None

EXPLANATION:
An administrator account (OFFSEC\admmig) is starting the OpenSSH server service, setting it to automatic startup, and checking the associated firewall rule (*ssh*), with the remaining events being routine PowerShell module-definition script block logging for the NetSecurity cmdlets. This is consistent with legitimate sysadmin configuration of OpenSSH Server rather than attack behavior, as the actions are standard service-management cmdlets run by an admin with no obfuscation, encoding, or malicious payloads. The bulk of the 4104 events are benign auto-generated CDXML cmdlet definitions loaded when NetSecurity functions are invoked."
claude-opus-4-8,ID4103-4104-OpenSSH server install.evtx,hard,A,processed,YES,100.0,87.5,YES,"4103, 4104, 40961, 53504, 40962","powershell.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","OFFSEC\admmig, OFFSEC\SYSTEM","Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, powershell.exe -ExecutionPolicy Restricted -Command Write-Host 'Final result: 1' | , Write-Host 'Final result: 1'",,,0.0,12.22,5.2,2.0,4.0,4,15.2,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4103, 4104, 40961, 53504, 40962
- Processes: powershell.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
- Accounts: OFFSEC\admmig, OFFSEC\SYSTEM
- Commands: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, powershell.exe -ExecutionPolicy Restricted -Command Write-Host 'Final result: 1';, Write-Host 'Final result: 1';
- Network: None
- Registry: None

EXPLANATION:
The admmig account uses PowerShell to install OpenSSH.Server via Add-WindowsCapability, which establishes a remote-access service that can serve as a persistence and remote-entry backdoor on the host. This is followed by a SYSTEM-context PowerShell process launched with -ExecutionPolicy Restricted bypass, indicating privilege escalation and execution under the highest privilege account. The combination of enabling a remote SSH server plus SYSTEM-level scripted command execution reflects attacker activity rather than routine administration."
claude-opus-4-8,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,100.0,YES,33205,,sa,,10.23.23.9,,0.0,3.95,6.0,2.0,4.0,3,15.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
Multiple failed login attempts (action_id LGIF, succeeded:false) for the privileged 'sa' account originate from the same client IP 10.23.23.9 in rapid succession, indicating a brute-force or password-guessing attack against the SQL Server instance MSSQL01\RADAR. Repeated authentication failures with state 7 targeting the SQL administrator account is a classic credential-attack signature rather than benign user error."
claude-opus-4-8,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,"FS03$, -",,10.23.23.9,,0.0,3.76,6.0,1.0,4.0,2,13.0,C,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$, -
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
Two failed RDP logons (LogonType 10) occurred within roughly two minutes from the same source IP 10.23.23.9 against FS03, with Status 0xC000006E indicating invalid credentials/account restrictions. The repeated remote interactive logon failures from a single host suggest an RDP brute-force or credential-guessing attempt rather than routine activity."
claude-opus-4-8,ID33205-SQL Server member added to database role.evtx,easy,A,processed,NO,100.0,100.0,YES,33205,,"OFFSEC\admmig, test-sql, dbo, db_accessadmin",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,mssql01.offsec.lan,,0.0,3.95,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, test-sql, dbo, db_accessadmin
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
This is a single SQL Server audit event (action_id APRL) showing the administrative principal OFFSEC\admmig successfully adding the login test-sql to the db_accessadmin role in the RCS-TEST-db database. This is a routine database role-membership change performed by an admin account with no accompanying privilege-escalation chain or suspicious sequence, making it consistent with normal database administration."
claude-opus-4-8,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,MSSQL$RADAR,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,,,0.0,5.04,5.3,5.0,4.0,2,16.3,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: MSSQL$RADAR
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: None
- Registry: None

EXPLANATION:
This is a SQL Server audit event (action_id:CR, succeeded:true) recording the creation of a database user ""test-sql"" mapped to an existing login, performed by an administrative principal OFFSEC\admmig on the RCS-TEST-db database. Creating a database user for an existing login is a routine administrative operation with no signs of privilege escalation, lateral movement, or malicious tooling. The naming and test database context further indicate normal provisioning activity."
claude-opus-4-8,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,,,0.0,8.83,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
Event ID 4723 indicates an attempt by a user (admmig) to change the password of an account (hacker2), which is a routine self-service or administrative password operation. There is no privilege escalation, anomalous process, or network indicator present to suggest malicious activity. While the account name ""hacker2"" is suggestive, the event itself reflects standard credential management behavior."
claude-opus-4-8,ID4728-Member adding to a group by the same account.evtx,easy,A,processed,NO,100.0,100.0,YES,4728,,"lambda-user, Group02",,,,0.0,3.43,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4728
- Processes: None
- Accounts: lambda-user, Group02
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
This is a single Event ID 4728 showing a member (lambda-user) being added to a security group (Group02). On its own, a group membership change is a routine administrative action with no accompanying privilege escalation chain, suspicious process, or command activity to indicate an attack."
claude-opus-4-8,ID4738-Account is sensitive and cannot be delegated.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,,,0.0,4.67,6.0,1.0,4.0,2,13.0,C,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
Two rapid 4738 user-account-change events on the same target (hack1) by admmig flipped the UserAccountControl flag to 0x4210 and then immediately back to 0x210 within ~4 seconds, indicating the ""DONT_REQUIRE_PREAUTH"" bit was toggled on then off. This paired state change is characteristic of an AS-REP roasting setup where pre-authentication is briefly disabled to capture a hash before reverting to hide the change."
claude-opus-4-8,ID4738-Password cannot be changed.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,,,0.0,4.40,6.0,2.0,4.0,4,16.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
Two rapid, back-to-back EID 4738 (user account changed) events on the domain controller rootdc1.offsec.lan target a suspiciously named account ""hack1"" modified by ""admmig"" within ~1.7 seconds. The redacted UAC/SidHistory fields combined with the timing and the attacker-style account name suggest scripted account manipulation (e.g., SID history injection or attribute tampering) rather than routine administrative provisioning."
