# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
qwen3.6-27b,ID4103-4104-OpenSSH server activation and config.evtx,hard,A,error,NO,0.0,0.0,NO,,,,,,,,0.46,,,,,,,Error: HTTP 400
qwen3.6-27b,ID4103-4104-OpenSSH server install.evtx,hard,A,processed,NO,100.0,62.5,YES,"4103, 4104, 40961, 53504, 40962",powershell.exe,"OFFSEC\admmig, OFFSEC\SYSTEM","Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Write-Host 'Final result: 1'",,,0.0,85.20,3.8,5.0,4.0,2,14.8,B,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4103, 4104, 40961, 53504, 40962
- Processes: powershell.exe
- Accounts: OFFSEC\admmig, OFFSEC\SYSTEM
- Commands: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Write-Host 'Final result: 1';
- Network: None
- Registry: None

EXPLANATION:
The logs depict a standard administrative workflow where the user installs the OpenSSH server feature using built-in PowerShell cmdlets and loads the corresponding DISM module aliases. The subsequent execution of a simple Write-Host command under the SYSTEM account aligns with routine script testing or lab configuration rather than malicious activity. There are no indicators of exploitation, data exfiltration, or suspicious network connections present in the event data."
qwen3.6-27b,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,75.0,YES,33205,,sa,,"10.23.23.9, mssql01.offsec.lan",,0.0,86.17,4.5,2.0,4.0,3,13.5,C,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 10.23.23.9, mssql01.offsec.lan
- Registry: None

EXPLANATION:
The logs show two consecutive failed login attempts for the highly privileged 'sa' account originating from a single IP address within a 20-second window. This rapid succession of authentication failures against a default administrative account is a strong indicator of a brute-force or credential guessing attack targeting the SQL Server instance. The pattern across multiple events confirms malicious intent rather than a benign administrative mistake."
qwen3.6-27b,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,FS03$,,10.23.23.9,,0.0,117.02,6.0,2.0,4.0,3,15.0,B,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625, 4625
- Processes: C:\Windows\System32\winlogon.exe, C:\Windows\System32\winlogon.exe
- Accounts: FS03$
- Commands: None
- Network: 10.23.23.9, 10.23.23.9
- Registry: None

EXPLANATION:
The logs contain two consecutive failed logon events (Event ID 4625) originating from the same source IP address within a two-minute window. This rapid succession of remote interactive (LogonType 10) authentication failures from a single IP indicates a potential brute-force or unauthorized access campaign. The repeated pattern of persistent login attempts strongly suggests malicious reconnaissance or credential testing behavior rather than isolated user error."
qwen3.6-27b,ID33205-SQL Server member added to database role.evtx,easy,A,processed,NO,100.0,93.8,YES,33205,,"OFFSEC\admmig, dbo, test-sql",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,mssql01.offsec.lan,,0.0,108.60,5.6,5.0,4.0,1,15.6,B,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
The log shows a SQL Server audit event where the account OFFSEC\admmig adds the test-sql principal to the db_accessadmin role in a test database. While modifying database roles can be part of an attack chain, the use of a migration account in a test environment suggests routine administrative activity. Without additional indicators like suspicious network connections or command execution, this isolated event appears benign."
qwen3.6-27b,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,mssql01.offsec.lan,,0.0,77.36,5.3,5.0,4.0,2,16.3,B,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
The log records a standard SQL Server audit event (ID 33205) documenting the creation of a database user mapped to an existing login, which is a routine administrative operation. There are no indicators of privilege escalation, suspicious command execution, or anomalous network activity in this isolated event. Therefore, the behavior aligns with normal database management rather than malicious intent."
qwen3.6-27b,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,rootdc1.offsec.lan,,0.0,75.03,6.0,6.0,4.0,4,20.0,A,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
This single Event ID 4723 log indicates a routine password change attempt for the 'hacker2' account initiated by the 'admmig' user. Without additional context such as multiple failed attempts, unusual timestamps, or correlated lateral movement events, this isolated audit record represents standard administrative activity rather than an attack. Therefore, it is classified as benign based on the limited data provided."
qwen3.6-27b,ID4728-Member adding to a group by the same account.evtx,easy,A,processed,NO,100.0,83.3,YES,4728,,"lambda-user, Group02",,rootdc1.offsec.lan,,0.0,66.32,5.0,5.0,4.0,2,16.0,B,"

MALICIOUS: NO

EVIDENCE:
- Event IDs: 4728
- Processes: None
- Accounts: lambda-user, Group02
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
This event documents a standard administrative action where the account lambda-user was added to the local group Group02. Without additional corroborating events showing unauthorized privilege escalation, suspicious tool execution, or anomalous lateral movement, this isolated group membership change aligns with routine system administration. Therefore, it does not demonstrate clear indicators of compromise on its own."
qwen3.6-27b,ID4738-Account is sensitive and cannot be delegated.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,rootdc1.offsec.lan,,0.0,80.45,6.0,2.0,4.0,4,16.0,B,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
The logs show a rapid sequence of Event ID 4738 entries where the `admmig` account modifies the UAC flags for `hack1`, toggling the ""password never expires"" attribute (0x4000) on and off within four seconds. This pattern indicates account manipulation likely intended to temporarily bypass password expiration policies for credential access or persistence. The immediate reversion of the change strongly suggests an attacker modifying sensitive account properties and quickly cleaning up to evade detection."
qwen3.6-27b,ID4738-Password cannot be changed.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,rootdc1.offsec.lan,,0.0,90.12,6.0,2.0,4.0,3,15.0,B,"

MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738, 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
The logs show two rapid successive account modification events (Event ID 4738) targeting the suspiciously named user hack1 by the account admmig on a domain controller. This pattern of quick, repeated changes to a high-risk account name strongly indicates unauthorized account manipulation or backdoor enablement rather than routine administrative maintenance."
